Age,Beg.,Nov.,Int.,Adv.,Elite
15,3.18,6.8,11.34,17.69,24.49
20,4.08,7.71,13.15,19.96,27.67
25,4.08,7.71,13.61,20.41,28.58
30,4.08,7.71,13.61,20.41,28.58
35,4.08,7.71,13.61,20.41,28.58
40,4.08,7.71,13.61,20.41,28.58
45,3.63,7.71,12.7,19.5,27.22
50,3.63,6.8,11.79,18.14,25.4
55,3.18,6.35,10.89,16.78,23.59
60,3.18,5.9,9.98,15.42,21.32
65,2.72,5.44,9.07,14.06,19.5
70,2.27,4.99,8.16,12.7,17.24
75,2.27,4.08,7.26,11.34,15.42
80,1.81,3.63,6.35,9.98,14.06
85,1.81,3.63,5.9,9.07,12.7
90,1.36,3.18,5.44,8.16,11.34
