Age,Beg.,Nov.,Int.,Adv.,Elite
15,19.5,34.47,54.43,79.38,107.5
20,22.23,39.46,62.6,91.17,123.38
25,22.68,40.37,63.96,93.44,126.55
30,22.68,40.37,63.96,93.44,126.55
35,22.68,40.37,63.96,93.44,126.55
40,22.68,40.37,63.96,93.44,126.55
45,21.77,38.1,60.78,88.45,119.75
50,20.41,35.83,57.15,83.01,112.49
55,18.6,33.11,52.62,77.11,104.33
60,17.24,30.39,48.08,70.31,95.25
65,15.42,27.22,43.54,63.5,85.73
70,14.06,24.49,39.01,56.7,77.11
75,12.25,21.77,34.93,50.8,68.95
80,10.89,19.5,31.3,45.36,61.69
85,9.98,17.69,28.12,40.82,55.34
90,9.07,15.88,25.4,36.74,49.9
