BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,2.72,5.9,10.43,16.33,23.59
45.36,2.72,6.35,10.89,17.24,24.49
49.9,3.18,6.8,11.79,18.14,25.4
54.43,3.63,7.26,12.25,19.05,26.76
58.97,4.08,7.71,13.15,19.5,27.22
63.5,4.08,8.16,13.61,20.41,28.12
68.04,4.54,8.62,14.06,20.87,29.03
72.57,4.99,9.07,14.51,21.77,29.48
77.11,4.99,9.07,14.97,22.23,30.39
81.65,5.44,9.53,15.42,22.68,30.84
86.18,5.44,9.98,15.88,23.13,31.75
90.72,5.9,10.43,16.33,24.04,32.21
95.25,5.9,10.89,16.78,24.49,32.66
99.79,6.35,10.89,17.24,24.95,33.57
104.33,6.35,11.34,17.69,25.4,34.02
108.86,6.8,11.79,18.14,25.85,34.47
113.4,6.8,11.79,18.14,26.31,34.93
117.93,7.26,12.25,18.6,26.76,35.38
