BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,2.27,4.99,9.53,15.42,22.23
45.36,2.72,5.9,10.43,16.33,23.59
49.9,3.18,6.35,11.34,17.24,24.49
54.43,3.18,6.8,11.79,18.14,25.85
58.97,3.63,7.26,12.7,19.05,26.76
63.5,4.08,7.71,13.15,19.96,27.67
68.04,4.54,8.16,14.06,20.87,28.58
72.57,4.54,9.07,14.51,21.32,29.48
77.11,4.99,9.53,14.97,22.23,30.39
81.65,5.44,9.53,15.42,22.68,31.3
86.18,5.9,9.98,16.33,23.59,31.75
90.72,5.9,10.43,16.78,24.04,32.66
95.25,6.35,10.89,17.24,24.95,33.11
99.79,6.8,11.34,17.69,25.4,34.02
104.33,6.8,11.79,18.14,25.85,34.47
108.86,7.26,12.25,18.6,26.31,35.38
113.4,7.26,12.25,19.05,26.76,35.83
117.93,7.71,12.7,19.5,27.22,36.29
